Instrument,Activity Date,Trans Code,Quantity,Price
STRR,6/13/2024,Buy,1.0,0.82
BSFC,6/13/2024,Sell,0.02,2.4
TNXP,6/12/2024,Sell,1.0,1.11
ICU,6/12/2024,Sell,1.0,3.72
TRNR,6/12/2024,Buy,1.0,0.11
VLD,6/12/2024,Buy,1.0,0.12
CEAD,6/11/2024,Sell,1.0,6.72
CNSP,6/10/2024,Sell,1.0,3.89
TNXP,6/6/2024,Buy,1.0,0.11
CEAD,6/6/2024,Buy,1.0,0.69
ICU,6/6/2024,Buy,1.0,0.21
PLAG,6/6/2024,Sell,1.0,2.05
NBY,6/6/2024,Sell,1.0,2.77
GWAV,6/6/2024,Sell,1.0,3.64
CNSP,6/3/2024,Buy,1.0,0.14
IVP,6/3/2024,Sell,1.0,3.38
BZFD,6/3/2024,Sell,1.0,2.74
SINT,6/3/2024,Sell,1.0,7.2
THAR,6/3/2024,Sell,1.0,4.85
NBY,5/30/2024,Buy,1.0,0.1
GWAV,5/30/2024,Buy,1.0,0.04
PLAG,5/30/2024,Buy,1.0,0.2
SINT,5/23/2024,Buy,1.0,0.08
OPGN,5/23/2024,Sell,1.0,3.3
CTHR,5/23/2024,Sell,1.0,2.34
HSCS,5/23/2024,Sell,1.0,5.27
THAR,5/22/2024,Buy,1.0,0.33
OPGN,5/17/2024,Buy,1.0,0.49
BSFC,5/17/2024,Buy,1.0,0.08
CTHR,5/16/2024,Buy,1.0,0.3
HSCS,5/16/2024,Buy,1.0,0.13
RCON,5/6/2024,Sell,1.0,1.79
IVP,5/6/2024,Buy,1.0,0.04
BZFD,5/3/2024,Buy,1.0,0.4
SOPA,5/3/2024,Sell,1.0,1.76
VINO,5/3/2024,Sell,1.0,4.42
ALLR,5/1/2024,Sell,0.05,1.2
SMSI,5/1/2024,Sell,0.125,2.34
GSUN,5/1/2024,Sell,1.0,2.35
ZAPP,5/1/2024,Sell,1.0,2.44
ATXI,5/1/2024,Sell,1.0,4.71
ZVSA,5/1/2024,Sell,1.0,5.36
VINO,4/29/2024,Buy,1.0,0.63
SOPA,4/29/2024,Buy,1.0,0.12
RCON,4/29/2024,Buy,1.0,0.09
SMFL,4/26/2024,Sell,1.0,3.77
WINT,4/26/2024,Sell,1.0,5.11
ISUNQ,4/25/2024,Buy,1.0,0.16
ATXI,4/25/2024,Buy,1.0,0.1
NUTX,4/19/2024,Sell,1.0,0.7
EMKR,4/19/2024,Sell,0.9,2.78
TCON,4/19/2024,Sell,1.0,2.03
BON,4/19/2024,Sell,1.0,3.74
FLNT,4/19/2024,Sell,1.0,2.7
SBFM,4/19/2024,Sell,1.0,2.01
MI,4/19/2024,Sell,1.0,4.25
ZVSA,4/18/2024,Buy,1.0,0.63
SMFL,4/18/2024,Buy,1.0,0.46
ZAPP,4/18/2024,Buy,1.0,0.15
WINT,4/18/2024,Buy,1.0,0.33
GSUN,4/18/2024,Buy,1.0,0.49
SBFM,4/16/2024,Buy,1.0,0.06
MI,4/11/2024,Buy,1.0,0.15
FLNT,4/10/2024,Buy,1.0,0.5
BON,4/10/2024,Buy,1.0,0.4
NUTX,4/9/2024,Buy,1.0,0.08
EDBL,4/9/2024,Sell,1.0,6.65
SMSI,4/9/2024,Buy,1.0,0.32
TCON,4/9/2024,Buy,1.0,0.19
ALLR,4/8/2024,Buy,1.0,0.22
UCAR,4/8/2024,Sell,1.0,6.33
AWIN,4/8/2024,Sell,1.0,5.27
DCFCQ,4/8/2024,Sell,1.0,6.73
NRXP,4/8/2024,Sell,1.0,5.36
PLUR,4/8/2024,Sell,1.0,5.66
EMKR,4/8/2024,Sell,0.1,3.22
EDBL,4/4/2024,Buy,1.0,0.41
AWIN,4/1/2024,Buy,1.0,0.07
DCFC,4/1/2024,Buy,1.0,0.05
NRXP,4/1/2024,Buy,1.0,0.49
EMKR,4/1/2024,Buy,1.0,0.35
ETAOF,4/1/2024,Sell,1.0,3.93
LGVN,4/1/2024,Sell,1.0,2.86
UCAR,3/28/2024,Buy,1.0,0.05
PLUR,3/28/2024,Buy,1.0,0.81
BCAN,3/27/2024,Sell,0.005263,1.32
ATER,3/27/2024,Sell,0.083333,2.92
HPCO,3/27/2024,Sell,0.1,1.62
TGL,3/27/2024,Sell,0.014286,4.02
INTZ,3/27/2024,Sell,1.0,2.84
MBRX,3/26/2024,Sell,1.0,4.66
MLGO,3/26/2024,Sell,1.0,4.66
LGVN,3/26/2024,Buy,1.0,0.37
ETAO,3/22/2024,Buy,1.0,0.26
BTTR,3/22/2024,Sell,1.0,6.86
ATER,3/21/2024,Buy,1.0,0.29
MLGO,3/21/2024,Buy,1.0,0.43
MBRX,3/21/2024,Buy,1.0,0.45
CISO,3/20/2024,Sell,1.0,1.25
XTIA,3/20/2024,Sell,1.0,2.13
LMFA,3/20/2024,Sell,1.0,2.7
INTZ,3/19/2024,Buy,1.0,0.2
BCAN,3/19/2024,Buy,1.0,0.02
BTTR,3/19/2024,Buy,1.0,0.16
INPX,3/12/2024,Buy,1.0,0.07
CJJD,3/11/2024,Sell,1.0,2.96
ZCMD,3/11/2024,Sell,1.0,1.82
HPCO,3/11/2024,Buy,1.0,0.21
LMFA,3/11/2024,Buy,1.0,0.52
RETO,3/8/2024,Sell,1.0,2.34
IFBD,3/8/2024,Sell,1.0,6.01
GXAI,3/7/2024,Buy,1.0,0.5
CISO,3/7/2024,Buy,1.0,0.1
IFBD,3/1/2024,Buy,1.0,0.89
ATNF,3/1/2024,Sell,1.0,3.38
PHUN,2/29/2024,Sell,1.0,7.96
LSDI,2/29/2024,Sell,1.0,1.8
AUUD,2/29/2024,Sell,1.0,3.2
RETO,2/28/2024,Buy,1.0,0.36
CJJD,2/28/2024,Buy,1.0,0.18
LYT,2/27/2024,Sell,1.0,2.7
BPTH,2/27/2024,Sell,1.0,5.51
ATNF,2/27/2024,Buy,1.0,0.21
ZCMD,2/27/2024,Buy,1.0,0.38
PHUN,2/26/2024,Buy,1.0,0.15
AUUD,2/26/2024,Buy,1.0,0.16
TGL,2/26/2024,Buy,1.0,0.06
LSDI,2/23/2024,Buy,1.0,0.23
VCNX,2/23/2024,Sell,1.0,7.61
BPTH,2/22/2024,Buy,1.0,0.38
LYT,2/22/2024,Buy,1.0,0.05
BSGM,2/21/2024,Sell,1.0,0.44
UAVS,2/21/2024,Sell,0.05,1.27
SISI,2/21/2024,Sell,1.0,1.6
MYMD,2/21/2024,Sell,1.0,3.52
EJH,2/16/2024,Sell,1.0,1.78
VCNX,2/16/2024,Buy,1.0,0.73
SISI,2/15/2024,Buy,1.0,0.13
SGLY,2/14/2024,Sell,1.0,2.92
MYMD,2/14/2024,Buy,1.0,0.13
EJH,2/13/2024,Buy,1.0,0.44
GRYP,2/13/2024,Sell,1.0,3.06
FRGT,2/9/2024,Sell,1.0,2.06
HOLO,2/9/2024,Sell,0.1,19.69
KERN,2/7/2024,Buy,1.0,0.22
CAMPQ,2/6/2024,Sell,1.0,3.46
GNPX,2/6/2024,Sell,1.0,6.45
CMAX,2/5/2024,Sell,1.0,6.99
GOVX,2/2/2024,Sell,0.933333,3.14
INBS,2/1/2024,Sell,0.916667,2.35
FRGT,2/1/2024,Buy,5.0,0.23
SGLY,2/1/2024,Buy,1.0,0.62
HOLO,2/1/2024,Buy,1.0,0.19
GNPX,2/1/2024,Buy,1.0,0.19
BSGM,1/31/2024,Buy,1.0,0.17
GOVX,1/31/2024,Sell,0.066667,3.4
MMAT,1/31/2024,Sell,1.0,3.86
CMAX,1/31/2024,Buy,1.0,0.45
UAVS,1/29/2024,Buy,1.0,0.09
CAMP,1/29/2024,Buy,1.0,0.17
GOVX,1/29/2024,Buy,1.0,0.26
INBS,1/29/2024,Sell,0.083333,2.81
KAVL,1/29/2024,Sell,1.0,2.52
REVB,1/29/2024,Sell,1.0,18.64
TSLA,1/25/2024,Buy,1.0,180.67
DTSS,1/25/2024,Sell,1.0,1.72
INBS,1/25/2024,Buy,1.0,0.23
MMAT,1/25/2024,Buy,1.0,0.06
KAVL,1/24/2024,Buy,1.0,0.14
REVB,1/24/2024,Buy,1.0,0.39
CLEU,1/24/2024,Sell,1.0,2.2
REBN,1/24/2024,Sell,1.0,3.02
NVVE,1/24/2024,Sell,1.0,5.2
PCSA,1/24/2024,Sell,1.0,2.11
PCSA,1/19/2024,Buy,1.0,0.26
NVVE,1/19/2024,Buy,1.0,0.08
DTSS,1/19/2024,Buy,1.0,0.11
REBN,1/18/2024,Buy,1.0,0.41
GMBL,1/18/2024,Sell,1.0,2.34
RNAZ,1/18/2024,Sell,1.0,2.18
CLEU,1/17/2024,Buy,1.0,0.17
BETSF,1/12/2024,Sell,1.0,4.4
RNAZ,1/11/2024,Buy,1.0,0.14
TTNP,1/11/2024,Sell,1.0,6.4
DSS,1/9/2024,Sell,1.0,2.01
ACON,1/9/2024,Sell,1.0,3.27
BETS,1/8/2024,Buy,6.0,0.01
PRSO,1/5/2024,Sell,1.0,6.63
TENX,1/5/2024,Sell,1.0,13.26
TTNP,1/5/2024,Buy,1.0,0.43
TBLT,1/4/2024,Sell,1.0,7.92
ACON,1/3/2024,Buy,1.0,0.2
MULN,1/3/2024,Sell,1.0,11.88
AVTX,1/3/2024,Sell,1.0,8.18
TENX,1/2/2024,Buy,1.0,0.26
VS,12/29/2023,Sell,0.0625,3.08
NXU,12/29/2023,Sell,1.0,2.19
PRSO,12/28/2023,Buy,1.0,0.26
TBLT,12/28/2023,Buy,1.0,0.16
DSS,12/28/2023,Buy,1.0,0.14
AVTX,12/27/2023,Buy,1.0,0.05
VS,12/27/2023,Buy,1.0,0.15
BBLG,12/26/2023,Sell,0.125,3.16
BKYI,12/26/2023,Sell,1.0,2.75
SIDU,12/26/2023,Sell,1.0,4.06
WNW,12/26/2023,Sell,1.0,2.2
NXU,12/22/2023,Buy,1.0,0.02
CENN,12/21/2023,Sell,1.0,1.43
GMBL,12/21/2023,Buy,1.0,0.01
GMBL,12/20/2023,Buy,1.0,0.01
VRAX,12/20/2023,Sell,1.0,1.48
BBLG,12/19/2023,Buy,1.0,0.41
BKYI,12/19/2023,Buy,1.0,0.16
MULN,12/19/2023,Buy,1.0,0.09
SIDU,12/19/2023,Buy,1.0,0.04
WNW,12/19/2023,Buy,1.0,0.08
VRAX,12/15/2023,Buy,1.0,0.18
AUVIQ,12/14/2023,Sell,1.0,1.71
SNCR,12/13/2023,Sell,1.0,3.63
SNCE,12/12/2023,Sell,1.0,4.16
AUVI,12/11/2023,Buy,1.0,0.09
PAVM,12/11/2023,Sell,1.0,2.9
SNCR,12/8/2023,Buy,1.0,0.47
SNCE,12/7/2023,Buy,1.0,0.25
SYTA,12/7/2023,Sell,0.142857,3.58
ZVSA,12/7/2023,Sell,1.0,1.28
MCOM,12/7/2023,Sell,1.0,1.15
PAVM,12/6/2023,Buy,1.0,0.23
BNRG,12/5/2023,Sell,0.5,6.1
ENG,12/5/2023,Sell,1.0,2.02
LQR,12/4/2023,Sell,1.0,1.3
CING,12/4/2023,Sell,1.0,5.38
UK,12/4/2023,Sell,1.0,3.73
BNRG,12/1/2023,Buy,5.0,0.6
MCOM,12/1/2023,Buy,1.0,0.01
SYTA,12/1/2023,Buy,1.0,0.42
ZVSA,12/1/2023,Buy,1.0,0.06
CMND,12/1/2023,Sell,0.033333,4.45
SEEL,12/1/2023,Sell,0.033333,1.3
CENN,11/30/2023,Buy,1.0,0.16
YOSH,11/30/2023,Sell,1.0,5.85
ENG,11/29/2023,Buy,1.0,0.24
CHR,11/29/2023,Sell,1.0,3.46
LQR,11/29/2023,Buy,1.0,0.03
CING,11/29/2023,Buy,1.0,0.33
UK,11/29/2023,Buy,1.0,0.37
YOSH,11/27/2023,Buy,1.0,0.45
SEEL,11/27/2023,Buy,1.0,0.11
CMND,11/27/2023,Buy,1.0,0.11
IFBD,11/24/2023,Sell,1.0,1.67
