"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"6/13/2024","6/13/2024","6/14/2024","STRR","Star Equity 
CUSIP: 85513Q103","Buy","1","$0.82","($0.82)"
"6/13/2024","6/13/2024","6/14/2024","BSFC","Blue Star Foods
CUSIP: 09606H309","Sell","0.02","$2.40","$0.05"
"6/13/2024","6/13/2024","6/13/2024","VLD","Velo3D
CUSIP: 92259N104","SPR","1S","",""
"6/12/2024","6/12/2024","6/13/2024","TNXP","Tonix Pharmaceuticals
CUSIP: 890260847","Sell","1","$1.11","$1.11"
"6/12/2024","6/12/2024","6/13/2024","ICU","SeaStar Medical
CUSIP: 81256L203","Sell","1","$3.72","$3.72"
"6/12/2024","6/12/2024","6/13/2024","TRNR","Interactive Strength
CUSIP: 45840Y104","Buy","1","$0.11","($0.11)"
"6/12/2024","6/12/2024","6/13/2024","VLD","Velo3D
CUSIP: 92259N104","Buy","1","$0.12","($0.12)"
"6/12/2024","6/12/2024","6/12/2024","TNXP","Tonix Pharmaceuticals
CUSIP: 890260847","SPR","1","",""
"6/12/2024","6/12/2024","6/12/2024","ICU","SeaStar Medical
CUSIP: 81256L203","SPR","1","",""
"6/11/2024","6/11/2024","6/12/2024","CEAD","CEA Industries
CUSIP: 86887P309","Sell","1","$6.72","$6.72"
"6/11/2024","6/11/2024","6/11/2024","CEAD","CEA Industries
CUSIP: 86887P309","SPR","1","",""
"6/10/2024","6/10/2024","6/11/2024","CNSP","CNS Pharmaceuticals
CUSIP: 18978H300","Sell","1","$3.89","$3.89"
"6/10/2024","6/10/2024","6/10/2024","TNXP","Tonix Pharmaceuticals
CUSIP: 890260854","SPR","1S","",""
"6/10/2024","6/10/2024","6/10/2024","ICU","SeaStar Medical
CUSIP: 81256L104","SPR","1S","",""
"6/7/2024","6/7/2024","6/7/2024","CEAD","CEA Industries
CUSIP: 86887P200","SPR","1S","",""
"6/7/2024","6/7/2024","6/7/2024","CNSP","CNS Pharmaceuticals
CUSIP: 18978H300","SPR","1","",""
"6/6/2024","6/6/2024","6/7/2024","TNXP","Tonix Pharmaceuticals
CUSIP: 890260854","Buy","1","$0.11","($0.11)"
"6/6/2024","6/6/2024","6/7/2024","CEAD","CEA Industries
CUSIP: 86887P200","Buy","1","$0.69","($0.69)"
"6/6/2024","6/6/2024","6/7/2024","ICU","SeaStar Medical
CUSIP: 81256L104","Buy","1","$0.21","($0.21)"
"6/6/2024","6/6/2024","6/7/2024","PLAG","Planet Green Holdings
CUSIP: 72703U201","Sell","1","$2.05","$2.05"
"6/6/2024","6/6/2024","6/7/2024","NBY","NovaBay Pharmaceuticals
CUSIP: 66987P409","Sell","1","$2.77","$2.77"
"6/6/2024","6/6/2024","6/7/2024","GWAV","Greenwave Technology Solutions
CUSIP: 57630J403","Sell","1","$3.64","$3.64"
"6/5/2024","6/5/2024","6/5/2024","CNSP","CNS Pharmaceuticals
CUSIP: 18978H201","SPR","1S","",""
"6/5/2024","6/5/2024","6/5/2024","GWAV","Greenwave Technology Solutions
CUSIP: 57630J403","SPR","1","",""
"6/5/2024","6/5/2024","6/5/2024","PLAG","Planet Green Holdings
CUSIP: 72703U201","SPR","1","",""
"6/4/2024","6/4/2024","6/4/2024","NBY","NovaBay Pharmaceuticals
CUSIP: 66987P409","SPR","1","",""
"6/3/2024","6/3/2024","6/4/2024","CNSP","CNS Pharmaceuticals
CUSIP: 18978H201","Buy","1","$0.14","($0.14)"
"6/3/2024","6/3/2024","6/4/2024","IVP","Inspire Veterinary Partners
CUSIP: 45784E205","Sell","1","$3.38","$3.38"
"6/3/2024","6/3/2024","6/4/2024","BZFD","BuzzFeed
CUSIP: 12430A300","Sell","1","$2.74","$2.74"
"6/3/2024","6/3/2024","6/4/2024","SINT","SiNtx
CUSIP: 829392703","Sell","1","$7.20","$7.20"
"6/3/2024","6/3/2024","6/4/2024","THAR","Tharimmune, Inc.
CUSIP: 432705309","Sell","1","$4.85","$4.85"
