Instrument,Activity Date,Buy Price,Sell Price,Quantity,Profit
ACON,1/3/2024,0.2,3.27,1.0,3.07
ADTX,8/17/2023,0.4,11.44,1.0,11.04
AEHL,9/15/2023,0.33,2.71,1.0,2.38
AGFY,7/3/2023,0.18,2.77,1.0,2.59
AGRI,10/10/2023,0.08,2.93,1.0,2.85
ALLR,3/24/2023,0.08,2.35,1.0,2.27
ALLR,4/8/2024,0.22,2.35,1.0,2.13
ALLR,6/28/2023,0.17,2.35,1.0,2.18
ALPP,5/12/2023,0.29,2.06,1.0,1.77
AMPE,9/11/2023,0.22,4.5,1.0,4.28
AQB,10/13/2023,0.21,3.72,1.0,3.51
AREB,6/26/2023,0.17,2.43,1.0,2.26
ASNS,4/18/2023,0.39,3.04,1.0,2.65
ASTI,9/11/2023,0.05,8.61,1.0,8.559999999999999
ASTR,9/13/2023,0.19,2.58,1.0,2.39
ATIP,6/14/2023,0.2,12.98,1.0,12.78
ATNF,2/27/2024,0.21,3.38,1.0,3.17
ATXI,4/25/2024,0.1,4.71,1.0,4.61
AUID,7/5/2023,1.02,6.9,1.0,5.880000000000001
AUMN,6/8/2023,0.11,2.16,1.0,2.0500000000000003
AUUD,2/26/2024,0.16,3.2,1.0,3.04
AVGR,9/12/2023,0.4,4.51,1.0,4.109999999999999
AVTX,12/27/2023,0.05,8.18,1.0,8.129999999999999
AWIN,4/1/2024,0.07,5.27,1.0,5.199999999999999
AYRO,9/15/2023,0.49,2.62,1.0,2.13
BACK,9/7/2023,0.11,2.41,1.0,2.3000000000000003
BAOS,3/21/2023,0.73,3.22,1.0,2.49
BBIG,5/10/2023,0.14,2.34,1.0,2.1999999999999997
BFRI,7/3/2023,0.54,8.92,1.0,8.379999999999999
BKTI,4/21/2023,2.62,10.86,1.0,8.239999999999998
BKYI,12/19/2023,0.16,2.75,1.0,2.59
BLBX,4/10/2023,0.83,2.53,1.0,1.6999999999999995
BNTC,7/25/2023,0.21,3.12,1.0,2.91
BON,4/10/2024,0.4,3.74,1.0,3.3400000000000003
BOXL,6/13/2023,0.33,2.1,1.0,1.77
BPTH,2/22/2024,0.38,5.51,1.0,5.13
BSGM,1/31/2024,0.17,0.44,1.0,0.27
BTCY,6/30/2023,0.64,2.67,1.0,2.03
BTOG,5/26/2023,0.08,2.01,1.0,1.9299999999999995
BTTR,3/19/2024,0.16,6.86,1.0,6.7
BZFD,5/3/2024,0.4,2.74,1.0,2.3400000000000003
CEAD,6/6/2024,0.69,6.72,1.0,6.029999999999999
CELZ,6/9/2023,0.41,4.66,1.0,4.25
CENN,11/30/2023,0.16,1.43,1.0,1.27
CHNR,3/31/2023,0.58,2.27,1.0,1.69
CHR,11/24/2023,0.35,3.46,1.0,3.11
CING,11/29/2023,0.33,5.38,1.0,5.05
CISO,3/7/2024,0.1,1.25,1.0,1.15
CJJD,2/28/2024,0.18,2.96,1.0,2.78
CLEU,1/17/2024,0.17,2.2,1.0,2.03
CMAX,1/31/2024,0.45,6.99,1.0,6.54
CNSP,6/3/2024,0.14,3.89,1.0,3.75
CPHI,3/3/2023,0.06,0.59,1.0,0.53
CPOP,10/26/2023,0.33,1.72,1.0,1.39
CTHR,5/16/2024,0.3,2.34,1.0,2.04
DSS,12/28/2023,0.14,2.01,1.0,1.8699999999999997
DTSS,1/19/2024,0.11,1.72,1.0,1.61
EAST,5/12/2023,0.19,3.83,1.0,3.64
EBET,9/29/2023,0.04,0.41,1.0,0.37
EDBL,4/4/2024,0.41,6.65,1.0,6.24
EJH,2/13/2024,0.44,1.78,1.0,1.34
EJH,9/22/2023,0.09,1.78,1.0,1.69
ENG,11/29/2023,0.24,2.02,1.0,1.78
EZFL,4/26/2023,0.28,2.41,1.0,2.13
FFIE,8/25/2023,0.16,7.88,1.0,7.72
FLNT,4/10/2024,0.5,2.7,1.0,2.2
FRGT,2/1/2024,0.23,2.06,1.0,1.83
GLMD,5/12/2023,0.33,4.59,1.0,4.26
GMBL,12/20/2023,0.01,2.34,1.0,2.33
GMBL,12/21/2023,0.01,2.34,1.0,2.33
GNPX,2/1/2024,0.19,6.45,1.0,6.26
GREE,5/15/2023,0.35,3.58,1.0,3.23
GROM,9/6/2023,0.29,2.23,1.0,1.94
GSUN,4/18/2024,0.49,2.35,1.0,1.86
GWAV,5/30/2024,0.04,3.64,1.0,3.6
HEPA,5/10/2023,0.53,7.27,1.0,6.739999999999999
HSCS,5/16/2024,0.13,5.27,1.0,5.14
ICU,6/6/2024,0.21,3.72,1.0,3.51
IFBD,11/17/2023,0.09,6.01,1.0,5.92
IFBD,3/1/2024,0.89,6.01,1.0,5.12
IFBD,5/12/2023,0.26,6.01,1.0,5.75
IKT,6/29/2023,0.59,3.41,1.0,2.8200000000000003
INTZ,3/19/2024,0.2,2.84,1.0,2.6399999999999997
IONM,3/3/2023,0.25,5.76,1.0,5.51
IVP,5/6/2024,0.04,3.38,1.0,3.34
